country_code,Year,Unemployment rate (%)
Cyprus,1998,3.3
Cyprus,1997,3.4
Cyprus,1996,3.1
Cyprus,1995,2.6
Cyprus,1994,2.7
Cyprus,1993,2.7
Cyprus,1992,2.09
Cyprus,1991,3.0
Czechia,2024,2.506
Czechia,2023,2.579
Czechia,2022,2.224
Czechia,2021,2.803
Czechia,2020,2.55
Czechia,2019,2.015
Czechia,2018,2.246
Czechia,2017,2.893
Czechia,2016,3.952
Czechia,2015,5.048
Czechia,2014,6.108
Czechia,2013,6.953
Czechia,2012,6.979
Czechia,2011,6.712
Czechia,2010,7.281
Czechia,2009,6.662
Czechia,2008,4.392
Czechia,2007,5.316
Czechia,2006,7.141
Czechia,2005,7.927
Czechia,2004,8.298
Czechia,2003,7.777
Czechia,2002,7.28
Czechia,2001,8.128
Czechia,2000,8.764
Czechia,1999,8.702
Czechia,1998,6.455
Czechia,1997,4.674
Czechia,1996,3.852
Czechia,1995,4.082
Czechia,1994,4.284
Czechia,1993,4.349
Czechia,1992,2.6
Czechia,1991,2.27
Germany,2024,3.406
Germany,2023,3.068
Germany,2022,3.12
Germany,2021,3.594
Germany,2020,3.881
Germany,2019,3.163
Germany,2018,3.384
Germany,2017,3.781
Germany,2016,4.104
Germany,2015,4.612
Germany,2014,4.979
Germany,2013,5.316
Germany,2012,5.372
Germany,2011,5.967
Germany,2010,7.043
Germany,2009,7.88
Germany,2008,7.508
Germany,2007,8.732
Germany,2006,10.277
Germany,2005,11.193
Germany,2004,10.727
Germany,2003,9.779
Germany,2002,8.482
Germany,2001,7.773
Germany,2000,7.917
Germany,1999,8.854
Germany,1998,9.787
Germany,1997,9.861
Germany,1996,8.822
Germany,1995,8.158
Germany,1994,8.727
Germany,1993,7.675
Germany,1992,6.323
Germany,1991,5.316
Denmark,2024,5.587
Denmark,2023,5.094
Denmark,2022,4.434
Denmark,2021,5.043
Denmark,2020,5.637
Denmark,2019,5.018
Denmark,2018,5.131
Denmark,2017,5.833
Denmark,2016,5.989
Denmark,2015,6.278
Denmark,2014,6.925
Denmark,2013,7.384
Denmark,2012,7.798
Denmark,2011,7.769
Denmark,2010,7.746
Denmark,2009,6.409
Denmark,2008,3.683
Denmark,2007,3.801
Denmark,2006,3.897
Denmark,2005,4.83
Denmark,2004,5.204
Denmark,2003,5.398
Denmark,2002,4.274
Denmark,2001,4.164
Denmark,2000,4.476
Denmark,1999,5.141
Denmark,1998,5.039
Denmark,1997,5.4
Denmark,1996,6.844
Denmark,1995,6.992
Denmark,1994,8.036
Denmark,1993,10.719
Denmark,1992,9.027
Denmark,1991,9.099
Spain,2024,11.394
Spain,2023,12.179
Spain,2022,12.917
Spain,2021,14.781
Spain,2020,15.532
Spain,2019,14.104
Spain,2018,15.255
Spain,2017,17.224
Spain,2016,19.635
Spain,2015,22.057
Spain,2014,24.441
Spain,2013,26.094
Spain,2012,24.789
Spain,2011,21.39
Spain,2010,19.86
Spain,2009,17.857
Spain,2008,11.254
Spain,2007,8.232
Spain,2006,8.452
Spain,2005,9.146
Spain,2004,11.09
Spain,2003,11.283
Spain,2002,11.146
Spain,2001,10.348
Spain,2000,13.785
Spain,1999,15.475
Spain,1998,18.673
Spain,1997,20.698
Spain,1996,22.142
Spain,1995,22.675
Spain,1994,24.209
Spain,1993,22.156
Spain,1992,17.697
Spain,1991,15.929
Estonia,2024,7.828
Estonia,2023,6.378
Estonia,2022,5.571
Estonia,2021,6.178
Estonia,2020,6.956
Estonia,2019,4.514
Estonia,2018,5.412
Estonia,2017,5.807
Estonia,2016,6.882
Estonia,2015,6.412
Estonia,2014,7.352
Estonia,2013,8.631
Estonia,2012,10.021
Estonia,2011,12.328
Estonia,2010,16.707
Estonia,2009,13.548
Estonia,2008,5.455
Estonia,2007,4.592
Estonia,2006,5.915
Estonia,2005,8.033
Estonia,2004,10.248
Estonia,2003,11.288
Estonia,2002,10.026
Estonia,2001,13.134
Estonia,2000,13.36
Estonia,1999,11.573
Estonia,1998,9.51
Estonia,1997,10.369
Estonia,1996,9.915
Estonia,1995,9.659
Estonia,1994,7.561
Estonia,1993,6.544
Estonia,1992,3.681
Estonia,1991,1.468
Finland,2024,8.26
Finland,2023,7.151
Finland,2022,6.719
Finland,2021,7.617
Finland,2020,7.759
Finland,2019,6.695
Finland,2018,7.361
Finland,2017,8.64
Finland,2016,8.818
Finland,2015,9.376
Finland,2014,8.663
Finland,2013,8.193
Finland,2012,7.689
Finland,2011,7.781
Finland,2010,8.394
Finland,2009,8.249
Finland,2008,6.369
Finland,2007,6.854
Finland,2006,8.935
Finland,2005,9.602
Finland,2004,10.358
Finland,2003,10.469
Finland,2002,10.423
Finland,2001,10.29
Finland,2000,11.134
Finland,1999,11.693
Finland,1998,13.214
Finland,1997,14.967
Finland,1996,15.572
Finland,1995,17.005
Finland,1994,16.426
Finland,1993,16.201
Finland,1992,11.595
Finland,1991,6.503
France,2024,7.37
France,2023,7.335
France,2022,7.308
France,2021,7.874
France,2020,8.009
France,2019,8.415
France,2018,9.018
France,2017,9.409
France,2016,10.057
France,2015,10.354
France,2014,10.273
France,2013,9.913
France,2012,9.841
France,2011,9.228
France,2010,9.279
France,2009,9.122
France,2008,7.386
France,2007,8.008
France,2006,8.832
France,2005,8.882
France,2004,8.914
France,2003,8.306
France,2002,8.702
France,2001,8.61
France,2000,10.218
France,1999,11.981
France,1998,12.074
France,1997,12.566
France,1996,12.367
France,1995,11.834
France,1994,12.593
France,1993,11.32
France,1992,10.203
France,1991,9.134
United Kingdom,2024,4.111
United Kingdom,2023,3.984
United Kingdom,2022,3.73
United Kingdom,2021,4.826
United Kingdom,2020,4.472
United Kingdom,2019,3.613
United Kingdom,2018,4.12
United Kingdom,2017,4.452
United Kingdom,2016,4.867
United Kingdom,2015,5.517
United Kingdom,2014,6.363
United Kingdom,2013,7.704
United Kingdom,2012,8.25
United Kingdom,2011,8.169
United Kingdom,2010,7.924
United Kingdom,2009,7.627
United Kingdom,2008,5.705
United Kingdom,2007,5.342
United Kingdom,2006,5.411
United Kingdom,2005,4.835
United Kingdom,2004,4.594
United Kingdom,2003,4.807
United Kingdom,2002,5.037
United Kingdom,2001,4.696
United Kingdom,2000,5.558
United Kingdom,1999,6.042
United Kingdom,1998,6.198
United Kingdom,1997,7.072
United Kingdom,1996,8.189
United Kingdom,1995,8.694
United Kingdom,1994,9.648
United Kingdom,1993,10.346
United Kingdom,1992,9.772
United Kingdom,1991,8.55
Greece,2024,10.133
Greece,2023,11.066
Greece,2022,12.426
Greece,2021,14.656
Greece,2020,15.899
Greece,2019,17.045
Greece,2018,19.179
Greece,2017,21.413
Greece,2016,23.514
Greece,2015,24.981
Greece,2014,26.708
Greece,2013,27.686
Greece,2012,24.731
Greece,2011,17.973
Greece,2010,12.719
Greece,2009,9.546
Greece,2008,7.664
Greece,2007,8.351
Greece,2006,8.906
Greece,2005,10.074
Greece,2004,10.628
Greece,2003,9.839
Greece,2002,10.346
Greece,2001,10.764
Greece,2000,11.345
Greece,1999,12.138
Greece,1998,12.227
Greece,1997,10.472
Greece,1996,10.402
Greece,1995,10.116
Greece,1994,9.808
Greece,1993,10.177
Greece,1992,8.927
Greece,1991,7.572
Croatia,2024,5.236
Croatia,2023,6.086
Croatia,2022,6.96
Croatia,2021,7.608
Croatia,2020,7.507
Croatia,2019,6.617
Croatia,2018,8.432
Croatia,2017,11.208
Croatia,2016,13.103
Croatia,2015,16.175
Croatia,2014,17.29
Croatia,2013,17.251
Croatia,2012,15.935
Croatia,2011,13.678
Croatia,2010,11.62
Croatia,2009,9.202
Croatia,2008,8.53
Croatia,2007,9.909
Croatia,2006,11.13
Croatia,2005,12.598
Croatia,2004,13.664
Croatia,2003,13.924
Croatia,2002,15.053
Croatia,2001,15.822
Croatia,2000,16.064
Croatia,1999,13.559
Croatia,1998,11.392
Croatia,1997,9.71
Croatia,1996,9.68
Croatia,1995,10.108
Croatia,1994,10.45
Croatia,1993,10.794
Croatia,1992,10.914
Croatia,1991,11.14
Hungary,2024,4.434
Hungary,2023,4.107
Hungary,2022,3.609
Hungary,2021,4.045
Hungary,2020,4.25
Hungary,2019,3.419
Hungary,2018,3.708
Hungary,2017,4.156
Hungary,2016,5.115
Hungary,2015,6.813
Hungary,2014,7.725
Hungary,2013,10.177
Hungary,2012,11.003
Hungary,2011,11.029
Hungary,2010,11.172
Hungary,2009,10.03
Hungary,2008,7.817
Hungary,2007,7.406
Hungary,2006,7.494
Hungary,2005,7.189
Hungary,2004,5.832
Hungary,2003,5.79
Hungary,2002,5.608
Hungary,2001,5.671
Hungary,2000,6.563
Hungary,1999,6.929
Hungary,1998,8.925
Hungary,1997,8.991
Hungary,1996,10.022
Hungary,1995,10.168
Hungary,1994,10.847
Hungary,1993,12.098
Hungary,1992,9.942
Hungary,1991,8.5
Ireland,2024,4.369
Ireland,2023,4.288
Ireland,2022,4.501
Ireland,2021,6.364
Ireland,2020,5.623
Ireland,2019,4.95
Ireland,2018,5.741
Ireland,2017,6.713
Ireland,2016,8.374
Ireland,2015,9.908
Ireland,2014,11.858
Ireland,2013,13.735
Ireland,2012,15.451
Ireland,2011,15.354
Ireland,2010,14.534
Ireland,2009,12.609
Ireland,2008,6.774
Ireland,2007,4.98
Ireland,2006,4.355
Ireland,2005,4.237
Ireland,2004,4.491
Ireland,2003,4.478
Ireland,2002,4.216
Ireland,2001,3.684
Ireland,2000,4.318
Ireland,1999,5.804
Ireland,1998,7.699
Ireland,1997,10.191
Ireland,1996,11.692
Ireland,1995,11.97
Ireland,1994,14.544
Ireland,1993,15.571
Ireland,1992,15.021
Ireland,1991,15.771
Italy,2024,6.778
Italy,2023,7.627
Italy,2022,8.069
Italy,2021,9.497
Italy,2020,9.164
Italy,2019,9.951
Italy,2018,10.61
Italy,2017,11.211
Italy,2016,11.688
Italy,2015,11.896
Italy,2014,12.683
Italy,2013,12.149
Italy,2012,10.655
Italy,2011,8.359
Italy,2010,8.363
Italy,2009,7.749
Italy,2008,6.723
Italy,2007,6.076
Italy,2006,6.777
Italy,2005,7.73
Italy,2004,7.866
Italy,2003,8.869
Italy,2002,9.211
Italy,2001,9.599
Italy,2000,10.834
Italy,1999,11.681
Italy,1998,12.117
Italy,1997,11.985
Italy,1996,11.864
Italy,1995,11.661
Italy,1994,11.086
Italy,1993,10.212
Italy,1992,9.321
Italy,1991,10.097
Lithuania,2024,7.504
Lithuania,2023,6.841
Lithuania,2022,5.955
Lithuania,2021,7.112
Lithuania,2020,8.487
Lithuania,2019,6.255
Lithuania,2018,6.147
Lithuania,2017,7.073
Lithuania,2016,7.862
Lithuania,2015,9.12
Lithuania,2014,10.698
Lithuania,2013,11.77
Lithuania,2012,13.365
Lithuania,2011,15.39
Lithuania,2010,17.814
Lithuania,2009,13.785
Lithuania,2008,5.826
Lithuania,2007,4.25
Lithuania,2006,5.78
Lithuania,2005,8.325
Lithuania,2004,10.684
Lithuania,2003,12.874
Lithuania,2002,13.008
Lithuania,2001,16.84
Lithuania,2000,15.931
Lithuania,1999,13.388
Lithuania,1998,13.711
Lithuania,1997,14.13
Lithuania,1996,16.4
Lithuania,1995,17.54
Lithuania,1994,13.8
Lithuania,1993,13.8
Lithuania,1992,1.2
Lithuania,1991,1.1
Luxembourg,2024,5.935
Luxembourg,2023,5.184
Luxembourg,2022,4.588
Luxembourg,2021,5.571
Luxembourg,2020,6.766
Luxembourg,2019,5.592
Luxembourg,2018,5.589
Luxembourg,2017,5.523
Luxembourg,2016,6.669
Luxembourg,2015,6.796
Luxembourg,2014,6.044
Luxembourg,2013,6.045
Luxembourg,2012,5.03
Luxembourg,2011,5.122
Luxembourg,2010,4.423
Luxembourg,2009,5.194
Luxembourg,2008,5.06
Luxembourg,2007,4.065
Luxembourg,2006,4.731
Luxembourg,2005,4.488
Luxembourg,2004,5.113
Luxembourg,2003,3.675
Luxembourg,2002,2.621
Luxembourg,2001,1.805
Luxembourg,2000,2.345
Luxembourg,1999,2.39
Luxembourg,1998,2.763
Luxembourg,1997,2.527
Luxembourg,1996,3.286
Luxembourg,1995,2.918
Luxembourg,1994,3.479
Luxembourg,1993,2.33
Luxembourg,1992,2.029
Luxembourg,1991,1.482
Latvia,2024,6.72
Latvia,2023,6.465
Latvia,2022,6.815
Latvia,2021,7.513
Latvia,2020,8.098
Latvia,2019,6.312
Latvia,2018,7.412
Latvia,2017,8.715
Latvia,2016,9.643
Latvia,2015,9.873
Latvia,2014,10.846
Latvia,2013,11.867
Latvia,2012,15.047
Latvia,2011,16.206
Latvia,2010,19.482
Latvia,2009,17.515
Latvia,2008,7.739
Latvia,2007,6.052
Latvia,2006,7.03
Latvia,2005,10.033
Latvia,2004,11.708
Latvia,2003,12.061
Latvia,2002,13.829
Latvia,2001,13.821
Latvia,2000,14.211
Latvia,1999,13.79
Latvia,1998,14.454
Latvia,1997,17.569
Latvia,1996,20.7
Latvia,1995,19.0
Latvia,1994,18.7
Latvia,1993,16.7
Latvia,1992,6.6
Latvia,1991,2.7
Malta,2024,2.703
Malta,2023,3.11
Malta,2022,2.921
Malta,2021,3.394
Malta,2020,4.347
Malta,2019,3.616
Malta,2018,3.658
Malta,2017,4.002
Malta,2016,4.687
Malta,2015,5.389
Malta,2014,5.725
Malta,2013,6.106
Malta,2012,6.197
Malta,2011,6.378
Malta,2010,6.847
Malta,2009,6.889
Malta,2008,5.977
Malta,2007,6.472
Malta,2006,6.798
Malta,2005,6.923
Malta,2004,7.317
Malta,2003,7.488
Malta,2002,6.902
Malta,2001,7.107
Malta,2000,6.324
Malta,1999,6.327
Malta,1998,6.33
Malta,1997,6.333
Malta,1996,6.337
Malta,1995,6.34
Malta,1994,6.343
Malta,1993,6.346
Malta,1992,6.349
Malta,1991,6.353
Netherlands,2024,3.599
Netherlands,2023,3.537
Netherlands,2022,3.526
Netherlands,2021,4.209
Netherlands,2020,3.82
Netherlands,2019,3.379
Netherlands,2018,3.832
Netherlands,2017,4.837
Netherlands,2016,6.007
Netherlands,2015,6.872
Netherlands,2014,7.419
Netherlands,2013,7.241
Netherlands,2012,5.821
Netherlands,2011,4.977
Netherlands,2010,4.991
Netherlands,2009,4.352
Netherlands,2008,3.658
Netherlands,2007,4.153
Netherlands,2006,5.007
Netherlands,2005,5.872
Netherlands,2004,4.646
Netherlands,2003,3.593
Netherlands,2002,2.554
Netherlands,2001,2.119
Netherlands,2000,2.725
Netherlands,1999,3.622
Netherlands,1998,4.394
Netherlands,1997,5.511
Netherlands,1996,6.421
Netherlands,1995,7.157
Netherlands,1994,7.159
Netherlands,1993,6.287
Netherlands,1992,5.555
Netherlands,1991,7.285
Poland,2024,2.472
Poland,2023,2.743
Poland,2022,2.811
Poland,2021,3.268
Poland,2020,3.155
Poland,2019,3.267
Poland,2018,3.835
Poland,2017,4.867
Poland,2016,6.141
Poland,2015,7.475
Poland,2014,8.971
Poland,2013,10.293
Poland,2012,10.031
Poland,2011,9.576
Poland,2010,9.578
Poland,2009,8.131
Poland,2008,7.069
Poland,2007,9.551
Poland,2006,13.794
Poland,2005,17.592
Poland,2004,18.822
Poland,2003,19.899
Poland,2002,20.211
Poland,2001,18.435
Poland,2000,14.928
Poland,1999,12.29
Poland,1998,9.935
Poland,1997,10.964
Poland,1996,12.684
Poland,1995,13.695
Poland,1994,14.825
Poland,1993,14.393
Poland,1992,13.645
Poland,1991,13.611
Portugal,2024,6.384
Portugal,2023,6.509
Portugal,2022,6.011
Portugal,2021,6.577
Portugal,2020,6.801
Portugal,2019,6.464
Portugal,2018,6.994
Portugal,2017,8.869
Portugal,2016,11.068
Portugal,2015,12.447
Portugal,2014,13.897
Portugal,2013,16.188
Portugal,2012,15.531
Portugal,2011,12.682
Portugal,2010,10.771
Portugal,2009,9.432
Portugal,2008,7.553
Portugal,2007,7.965
Portugal,2006,7.649
Portugal,2005,7.582
Portugal,2004,6.319
Portugal,2003,6.132
Portugal,2002,4.497
Portugal,2001,3.829
Portugal,2000,3.806
Portugal,1999,4.579
Portugal,1998,4.64
Portugal,1997,6.571
Portugal,1996,7.298
Portugal,1995,7.064
Portugal,1994,6.709
Portugal,1993,5.301
Portugal,1992,3.985
Portugal,1991,3.919
Romania,2024,5.379
Romania,2023,5.589
Romania,2022,5.614
Romania,2021,5.59
Romania,2020,5.035
Romania,2019,3.912
Romania,2018,4.187
Romania,2017,4.927
Romania,2016,5.901
Romania,2015,6.812
Romania,2014,6.802
Romania,2013,7.096
Romania,2012,6.794
Romania,2011,7.177
Romania,2010,6.959
Romania,2009,6.859
Romania,2008,5.787
Romania,2007,6.413
Romania,2006,7.27
Romania,2005,7.174
Romania,2004,7.719
Romania,2003,6.95
Romania,2002,8.112
Romania,2001,6.561
Romania,2000,6.969
Romania,1999,6.239
Romania,1998,5.63
Romania,1997,5.515
Romania,1996,6.74
Romania,1995,8.01
Romania,1994,8.17
Romania,1993,8.273
Romania,1992,8.26
Romania,1991,8.218
Slovak Republic,2024,5.234
Slovak Republic,2023,5.84
Slovak Republic,2022,6.143
Slovak Republic,2021,6.894
Slovak Republic,2020,6.719
Slovak Republic,2019,5.761
Slovak Republic,2018,6.544
Slovak Republic,2017,8.142
Slovak Republic,2016,9.679
Slovak Republic,2015,11.492
Slovak Republic,2014,11.536
Slovak Republic,2013,14.226
Slovak Republic,2012,13.966
Slovak Republic,2011,13.634
Slovak Republic,2010,14.387
Slovak Republic,2009,12.023
Slovak Republic,2008,9.514
Slovak Republic,2007,11.16
Slovak Republic,2006,13.395
Slovak Republic,2005,16.276
Slovak Republic,2004,18.206
Slovak Republic,2003,17.549
Slovak Republic,2002,18.541
Slovak Republic,2001,19.148
Slovak Republic,2000,18.546
Slovak Republic,1999,16.099
Slovak Republic,1998,12.421
Slovak Republic,1997,11.894
Slovak Republic,1996,11.341
Slovak Republic,1995,13.109
Slovak Republic,1994,13.654
Slovak Republic,1993,12.2
Slovak Republic,1992,12.192
Slovak Republic,1991,12.166
Slovenia,2024,3.357
Slovenia,2023,3.652
Slovenia,2022,4.011
Slovenia,2021,4.744
Slovenia,2020,4.971
Slovenia,2019,4.446
Slovenia,2018,5.108
Slovenia,2017,6.564
Slovenia,2016,8.0
Slovenia,2015,8.962
Slovenia,2014,9.668
Slovenia,2013,10.103
Slovenia,2012,8.841
Slovenia,2011,8.166
Slovenia,2010,7.236
Slovenia,2009,5.858
Slovenia,2008,4.371
Slovenia,2007,4.818
Slovenia,2006,5.95
Slovenia,2005,6.506
Slovenia,2004,6.012
Slovenia,2003,6.479
Slovenia,2002,5.922
Slovenia,2001,5.682
Slovenia,2000,6.92
Slovenia,1999,7.33
Slovenia,1998,7.4
Slovenia,1997,6.658
Slovenia,1996,6.886
Slovenia,1995,7.15
Slovenia,1994,8.24
Slovenia,1993,8.51
Slovenia,1992,7.809
Slovenia,1991,7.08
Sweden,2024,8.528
Sweden,2023,7.611
Sweden,2022,7.392
Sweden,2021,8.722
Sweden,2020,8.291
Sweden,2019,6.833
Sweden,2018,6.365
Sweden,2017,6.718
Sweden,2016,6.99
Sweden,2015,7.432
Sweden,2014,7.954
Sweden,2013,8.052
Sweden,2012,7.976
Sweden,2011,7.804
Sweden,2010,8.61
Sweden,2009,8.351
Sweden,2008,6.235
Sweden,2007,6.161
Sweden,2006,7.066
Sweden,2005,7.81
Sweden,2004,6.693
Sweden,2003,5.555
Sweden,2002,4.965
Sweden,2001,4.73
Sweden,2000,5.466
Sweden,1999,7.607
Sweden,1998,8.941
Sweden,1997,10.359
Sweden,1996,9.547
Sweden,1995,8.897
Sweden,1994,9.58
Sweden,1993,9.33
Sweden,1992,5.722
Sweden,1991,3.243
United States,2024,4.106
United States,2023,3.638
United States,2022,3.65
United States,2021,5.349
United States,2020,8.055
United States,2019,3.669
United States,2018,3.896
United States,2017,4.355
United States,2016,4.869
United States,2015,5.28
United States,2014,6.168
United States,2013,7.375
United States,2012,8.069
United States,2011,8.949
United States,2010,9.633
United States,2009,9.254
United States,2008,5.784
United States,2007,4.622
United States,2006,4.623
United States,2005,5.084
United States,2004,5.529
United States,2003,5.989
United States,2002,5.783
United States,2001,4.731
United States,2000,3.992
United States,1999,4.219
United States,1998,4.511
United States,1997,5.0
United States,1996,5.451
United States,1995,5.65
United States,1994,6.119
United States,1993,6.9
United States,1992,7.5
United States,1991,6.8
